"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
1.445602100E-2,-8.234463334E-1,-1.248761296E0,-4.749477282E-2
1.665221900E-2,-8.587238193E-1,-1.302975535E0,-2.351831272E-2
1.884841800E-2,-8.891143799E-1,-1.351081252E0,-1.985311974E-3
2.103956000E-2,-9.097310901E-1,-1.397965074E0,1.832595654E-2
2.323128800E-2,-9.254608750E-1,-1.441031098E0,3.756821156E-2
2.542257800E-2,-9.326385260E-1,-1.479210138E0,5.299255997E-2
2.761635000E-2,-9.373727441E-1,-1.516167521E0,6.719517708E-2
2.981371000E-2,-9.335548282E-1,-1.545641780E0,7.910704613E-2
3.200803100E-2,-9.297369123E-1,-1.572672606E0,9.101892263E-2
3.420493600E-2,-9.199630618E-1,-1.596038222E0,1.004873365E-1
3.639832200E-2,-9.063712955E-1,-1.614516854E0,1.075122803E-1
3.859241500E-2,-8.929322958E-1,-1.629177570E0,1.122464910E-1
4.078817800E-2,-8.770498037E-1,-1.640173197E0,1.143845171E-1
4.298888100E-2,-8.611672521E-1,-1.649947047E0,1.166752651E-1
4.518241300E-2,-8.439103365E-1,-1.653612256E0,1.178969890E-1
4.737478300E-2,-8.268061280E-1,-1.657277465E0,1.177442744E-1
4.956851300E-2,-8.121453524E-1,-1.654681206E0,1.153008118E-1
5.175450100E-2,-7.976372838E-1,-1.649794340E0,1.128573567E-1
5.394813700E-2,-7.841982841E-1,-1.637424231E0,1.116356254E-1
5.614193800E-2,-7.719809413E-1,-1.622763515E0,1.105666086E-1
5.833542900E-2,-7.622070909E-1,-1.599397898E0,1.084285825E-1
6.052625300E-2,-7.550294399E-1,-1.573588848E0,1.073595658E-1
6.271930900E-2,-7.476990819E-1,-1.545336366E0,1.064432710E-1
6.491262300E-2,-7.417431474E-1,-1.514793038E0,1.079704314E-1
6.710615600E-2,-7.380779386E-1,-1.482875347E0,1.108720452E-1
6.929783200E-2,-7.345654368E-1,-1.449888706E0,1.148426682E-1
7.149133200E-2,-7.345654368E-1,-1.419192672E0,1.200350225E-1
7.368471900E-2,-7.357872128E-1,-1.388649464E0,1.276708394E-1
7.587817900E-2,-7.359399199E-1,-1.360549569E0,1.354593635E-1
7.807626600E-2,-7.408268452E-1,-1.332449794E0,1.467603743E-1
8.027008800E-2,-7.444919944E-1,-1.309389710E0,1.580613852E-1
8.246325800E-2,-7.481572032E-1,-1.284955025E0,1.728748679E-1
8.465766200E-2,-7.567093372E-1,-1.266781807E0,1.878410578E-1
8.685147300E-2,-7.652614117E-1,-1.247386813E0,2.040289938E-1
8.904517200E-2,-7.762570381E-1,-1.235322237E0,2.212859392E-1
9.123866200E-2,-7.848091125E-1,-1.225701094E0,2.397646159E-1
9.343097000E-2,-7.958046794E-1,-1.222188592E0,2.580905557E-1
9.562421100E-2,-8.054258227E-1,-1.227380991E0,2.776382565E-1
9.781209900E-2,-8.139779568E-1,-1.233642340E0,2.971859276E-1
1.000063990E-1,-8.199338913E-1,-1.247386813E0,3.190243840E-1
1.022001710E-1,-8.258898258E-1,-1.263574719E0,3.396410644E-1
1.043974390E-1,-8.295549750E-1,-1.287093043E0,3.625485301E-1
1.065963770E-1,-8.306240439E-1,-1.315498352E0,3.830125034E-1
1.087895150E-1,-8.292495608E-1,-1.350012183E0,4.045455158E-1
1.109830880E-1,-8.290968537E-1,-1.386969566E0,4.273002446E-1
1.131724490E-1,-8.240572214E-1,-1.426370382E0,4.500549734E-1
1.153659910E-1,-8.164213896E-1,-1.471879840E0,4.715879560E-1
1.175594520E-1,-8.077165484E-1,-1.521207213E0,4.941899776E-1
1.197529520E-1,-7.929030657E-1,-1.575268745E0,5.141957998E-1
1.219467440E-1,-7.768678665E-1,-1.631773829E0,5.367978215E-1
1.241399240E-1,-7.582364678E-1,-1.698052645E0,5.566509366E-1
1.263334040E-1,-7.409795523E-1,-1.761888027E0,5.754350424E-1
1.285274250E-1,-7.284567952E-1,-1.818393111E0,5.893322229E-1
1.307210290E-1,-7.197519541E-1,-1.863902569E0,6.047565937E-1
1.329154650E-1,-7.136433125E-1,-1.893376827E0,6.104071140E-1
1.351042550E-1,-7.049384713E-1,-1.914146304E0,6.139195561E-1
1.372973310E-1,-6.988298297E-1,-1.931403160E0,6.160575747E-1
1.394910710E-1,-6.866125464E-1,-1.942398787E0,6.159048676E-1
1.416783770E-1,-6.670648456E-1,-1.953241587E0,6.145304441E-1
1.438762990E-1,-6.461427212E-1,-1.958128572E0,6.168211699E-1
1.460697590E-1,-6.217080951E-1,-1.965458870E0,6.191119552E-1
1.482638720E-1,-5.984952450E-1,-1.972789288E0,6.214026809E-1
1.504628510E-1,-5.752823353E-1,-1.979966998E0,6.200281978E-1
1.526563520E-1,-5.581781268E-1,-1.992184281E0,6.209445000E-1
1.548495620E-1,-5.384777188E-1,-2.004401684E0,6.183483601E-1
1.570424830E-1,-5.238169432E-1,-2.016618967E0,6.157521605E-1
1.592360990E-1,-5.091561675E-1,-2.030057907E0,6.105598211E-1
1.614300670E-1,-4.920519590E-1,-2.048231125E0,6.065891981E-1
1.636235480E-1,-4.761694670E-1,-2.062891960E0,5.991060734E-1
1.658168310E-1,-4.578435123E-1,-2.077399969E0,5.902485251E-1
1.680103530E-1,-4.395175576E-1,-2.088242769E0,5.791002512E-1
1.702037290E-1,-4.211915731E-1,-2.094198704E0,5.655084848E-1
1.723980300E-1,-4.016439021E-1,-2.091602564E0,5.484042764E-1
1.745914690E-1,-3.834706545E-1,-2.083966732E0,5.288565755E-1
1.767866720E-1,-3.590360582E-1,-2.073887587E0,5.080871582E-1
1.789801630E-1,-3.433062732E-1,-2.058921337E0,4.825835526E-1
1.811732800E-1,-3.200933933E-1,-2.038915396E0,4.583016634E-1
1.833664800E-1,-2.994766831E-1,-2.016618967E0,4.315762818E-1
1.855579680E-1,-2.800817192E-1,-1.992947817E0,4.037819207E-1
1.877515320E-1,-2.594650090E-1,-1.964389920E0,3.758348525E-1
1.899449600E-1,-2.388483137E-1,-1.934762955E0,3.492622077E-1
1.921393850E-1,-2.194533348E-1,-1.901318073E0,3.214678466E-1
1.943226790E-1,-2.000583708E-1,-1.865429759E0,2.948952019E-1
1.964664270E-1,-1.818851233E-1,-1.828319669E0,2.684752643E-1
1.986033690E-1,-1.637118906E-1,-1.787544370E0,2.431243658E-1
2.007502800E-1,-1.443169117E-1,-1.745700121E0,2.203696370E-1
2.029233660E-1,-1.261436790E-1,-1.703703165E0,1.988366395E-1
2.050772050E-1,-1.079704314E-1,-1.659415483E0,1.795943826E-1
2.072273520E-1,-8.979719132E-2,-1.614974976E0,1.605048478E-1
2.093740390E-1,-7.528914511E-2,-1.568243742E0,1.426370293E-1
2.115251920E-1,-6.078109145E-2,-1.522734284E0,1.272126883E-1
2.136749420E-1,-4.871650413E-2,-1.480890036E0,1.154535338E-1
2.158244270E-1,-3.909537569E-2,-1.435380578E0,1.024726480E-1
2.179791510E-1,-2.947424725E-2,-1.389871120E0,9.330966324E-2
2.201393270E-1,-2.718350291E-2,-1.340696454E0,8.521570265E-2
2.222789750E-1,-2.611448988E-2,-1.296561480E0,8.093964309E-2
2.244270170E-1,-2.504547499E-2,-1.249982953E0,7.895433158E-2
2.265737650E-1,-3.115412779E-2,-1.203404546E0,7.712173462E-2
2.287291610E-1,-4.108068720E-2,-1.158200502E0,8.002334833E-2
2.308789500E-1,-5.222897977E-2,-1.114065528E0,8.429940045E-2
2.330308360E-1,-6.933320314E-2,-1.072526693E0,9.086620808E-2
2.351800260E-1,-8.659014851E-2,-1.034653068E0,9.987647086E-2
2.373173960E-1,-1.098030284E-1,-9.993755221E-1,1.114829108E-1
2.394679700E-1,-1.343903542E-1,-9.663888216E-1,1.229366288E-1
2.416310140E-1,-1.612684280E-1,-9.335548282E-1,1.343903542E-1
2.437855050E-1,-1.869247705E-1,-8.994990587E-1,1.507309973E-1
2.459356510E-1,-2.212859392E-1,-8.691084981E-1,1.634064466E-1
2.480841390E-1,-2.530509233E-1,-8.387179971E-1,1.797471046E-1
2.502331160E-1,-2.884811163E-1,-8.022187948E-1,1.950187236E-1
2.523840760E-1,-3.228422701E-1,-7.669413090E-1,2.113593817E-1
2.545363990E-1,-3.570507467E-1,-7.315111160E-1,2.266310006E-1
2.566939300E-1,-3.949243724E-1,-6.913467646E-1,2.429716438E-1
2.588361330E-1,-4.317290187E-1,-6.499606371E-1,2.594650090E-1
2.609884960E-1,-4.696026444E-1,-6.085745096E-1,2.747366428E-1
2.631323770E-1,-5.076290369E-1,-5.635231733E-1,2.889392674E-1
2.652750560E-1,-5.430592299E-1,-5.196936131E-1,3.042109013E-1
2.674354760E-1,-5.810855627E-1,-4.721988440E-1,3.207042515E-1
2.695832330E-1,-6.189591885E-1,-4.245513380E-1,3.336851299E-1
2.717206830E-1,-6.557638645E-1,-3.782783151E-1,3.477350473E-1
2.738761090E-1,-6.913467646E-1,-3.330742717E-1,3.605632186E-1
2.760384110E-1,-7.267768979E-1,-2.868012190E-1,3.735440969E-1
2.781949870E-1,-7.574729323E-1,-2.415972054E-1,3.851505518E-1
2.803448180E-1,-7.904596329E-1,-2.002110779E-1,3.967569768E-1
2.824912720E-1,-8.235990405E-1,-1.611157060E-1,4.069889784E-1
2.846410930E-1,-8.565858006E-1,-1.185078546E-1,4.149302244E-1
2.867908720E-1,-8.885034919E-1,-7.330382615E-2,4.216497242E-1
2.889445390E-1,-9.191994667E-1,-2.809980139E-2,4.273002446E-1
2.910933010E-1,-9.497427344E-1,1.343903504E-2,4.314235747E-1
2.932441600E-1,-9.792169929E-1,5.009094998E-2,4.344778955E-1
2.953920270E-1,-1.009760261E0,8.185594529E-2,4.361577928E-1
2.975442600E-1,-1.034347534E0,1.123992056E-1,4.390594065E-1
2.996915260E-1,-1.058782220E0,1.343903542E-1,4.381431043E-1
3.018334130E-1,-1.083369493E0,1.527163088E-1,4.384485185E-1
3.039978520E-1,-1.105360627E0,1.685988009E-1,4.363104999E-1
3.061456480E-1,-1.124908328E0,1.783726513E-1,4.352414906E-1
3.083025800E-1,-1.142165303E0,1.869247705E-1,4.329507351E-1
3.104472730E-1,-1.156826019E0,1.905899495E-1,4.306600094E-1
3.125995050E-1,-1.171486855E0,1.918116808E-1,4.294382632E-1
3.147485020E-1,-1.181260705E0,1.942551434E-1,4.259257913E-1
3.168976200E-1,-1.189812779E0,1.942551434E-1,4.222606122E-1
3.190493750E-1,-1.195921421E0,1.893682331E-1,4.198171496E-1
3.211997750E-1,-1.199586630E0,1.832595766E-1,4.147774875E-1
3.233504510E-1,-1.198364854E0,1.759291887E-1,4.111123085E-1
3.254994270E-1,-1.195921421E0,1.685988009E-1,4.072943926E-1
3.276502750E-1,-1.193477988E0,1.563815027E-1,4.034765065E-1
3.298034020E-1,-1.187369347E0,1.429424733E-1,3.984368443E-1
3.319586450E-1,-1.178664446E0,1.307251602E-1,3.933972120E-1
3.341036340E-1,-1.170112371E0,1.149953827E-1,3.871358633E-1
3.362522840E-1,-1.156673312E0,9.911288321E-2,3.819434941E-1
3.383899800E-1,-1.144456029E0,8.323039114E-2,3.756821156E-1
3.405546010E-1,-1.127351761E0,6.872233748E-2,3.692680299E-1
3.427045950E-1,-1.111469269E0,5.161811411E-2,3.604104817E-1
3.448592270E-1,-1.092990637E0,3.466660157E-2,3.553708494E-1
3.470079500E-1,-1.069777727E0,2.000583708E-2,3.489567637E-1
3.491593270E-1,-1.049008369E0,4.276056774E-3,3.413209617E-1
3.513139090E-1,-1.025795460E0,-7.941247895E-3,3.375030458E-1
3.534572490E-1,-1.005026102E0,-1.634064503E-2,3.312416673E-1
3.556033370E-1,-9.805914164E-1,-2.855795063E-2,3.284927905E-1
3.577439410E-1,-9.561568499E-1,-3.588833287E-2,3.295617998E-1
3.599092340E-1,-9.303477407E-1,-4.184427112E-2,3.306308091E-1
3.620603270E-1,-9.071348906E-1,-5.039638281E-2,3.329215646E-1
3.642131390E-1,-8.839219809E-1,-5.894849449E-2,3.376557529E-1
3.663603140E-1,-8.593347073E-1,-7.483099401E-2,3.446807265E-1
3.685109600E-1,-8.373435140E-1,-9.697485715E-2,3.541491330E-1
3.706584400E-1,-8.151996732E-1,-1.215621829E-1,3.610213697E-1
3.728027690E-1,-7.944302559E-1,-1.484402567E-1,3.717114925E-1
3.749740930E-1,-7.747298479E-1,-1.791362315E-1,3.822489381E-1
3.771135890E-1,-7.550294399E-1,-2.147191316E-1,3.940080702E-1
3.792736440E-1,-7.353290319E-1,-2.551889420E-1,4.043927789E-1
3.814124580E-1,-7.180721164E-1,-3.019201458E-1,4.172209501E-1
